WMI,Manufacturer
LGJ,东风
LFV,大众高尔夫
LBE,北京现代
LEF,江铃
LFM,丰田
LSV,斯柯达
LFV,奥迪
LVH,本田
LN8,猎豹
LBV,宝马
LFV,大众
LVG,丰田
LSG,雪佛兰
LSV,斯柯
LL6,三菱
LSV,大众
LVR,马自达
LSG,别克
LE4,奔驰
LVS,福特
L2C,路虎
LVX,陆风
LGB,奇骏
LSV,帕萨特
LBE,索纳塔
LSG,君威
LVS,蒙迪欧
LJD,起亚
LGG,风行
LSA,野马
LTA,中兴
LMG,广汽
LH1,海马
LGB,启辰
LDC,风神
LB3,帝豪
LGB,日产
LDC,标致
LGW,长城
LDC,雪铁龙
LVH,东风本田
LFM,本田
LVV,奇瑞
LUX,纳智
LHG,本田
LBE,现代
LNB,北京汽车
LZW,五菱
LSG,凯迪拉克
LZW,宝骏
LJ8,众泰
LS5,悦翔
LSJ,荣威
LB3,吉利
LC0,比亚迪
LJN,东风
L6T,帝豪
LGX,比亚迪
LSG,雪弗兰
LNB,威旺
LDC,标志
LMG,长丰
LLN,观致
LJN,日产
L6T,吉利
LSY,中华
LVF,铃木
L10,英伦
LDN,三菱
LHA,恒天
LJ1,江淮
LGW,哈佛
LFP,一汽奔腾
LSJ,名爵
LNB,北汽
LMG,广汽传祺
LVB,福田
LS4,长安
LBE,北京
LFB,奔腾
LFV,一汽大众
LFP,大众
LHG,广汽本田
LVA,福田
LFV,宝来
LHG,本田凌派
LVH,丰田
LVT,奇瑞
LFV,奥迪型
LVG,凯美瑞
LGB,大众
LVS,福克斯
LUX,东风
LRH,华泰
LGB,日产阳光
LHG,本田
LSV,大众
LS5,长安
LGB,轩逸
LDN,东南
LGW,长城
LVG,丰田
LGX,比亚迪
LBV,宝马
LJD,起亚
LUX,纳智捷
LSG,雪弗
LUX,纳智捷
LGJ,东风
LFV,大众
LVX,陆风
LB1,奔驰
LVX,陆丰
LVS,福特
LDC,东风标志
LBE,现代
LGW,哈佛
L6T,吉利
LFM,丰田
LGB,日产
LSG,凯迪拉克
LMG,传祺
LFP,马自达
LS5,铃木
LE4,奔驰
LFV,奥迪
LSG,别克
LVH,本田
LJU,华普
LSY,中华
LGW,哈弗
LJ1,江淮
LFP,红旗
LNB,北京
LMG,猎豹
LDD,黄海
LMV,海马
LSV,大众桑塔纳
LH1,海马
LBE,索纳塔
LL6,三菱
LS5,长安
LVG,雷凌
LNB,北汽
LFM,卡罗拉
LSG,科鲁兹
LMG,扬子
LVG,汉兰达
LGB,东风日产
LMV,海马
LSV,斯柯达
LBE,北京现代
LZW,宝骏
LL6,帕杰罗
LFP,奔腾
LUX,纳智
LNB,北汽幻速
LCN,力帆
LMG,广汽
LKG,莲花
LGB,英菲尼迪
LYV,沃尔沃
LDC,雪铁龙
LSV,大众朗逸
LEF,江铃
LDC,东风雪铁龙
LSG,雪佛兰
LSY,金杯
LGB,东风
LVR,福特
LFV,奥迪
LFV,起亚
LL6,长丰
LN8,猎豹
LPM,马自达
LVR,马自达马
LJW,长城
LSV,晶锐
LCR,广汽
LE4,三菱
LCO,比亚迪
LDC,标致
LDC,东风
LSG,雪弗兰
LJM,日产
LDN,东南
LZW,五菱
LGW,哈弗
LVT,奇瑞
LSV,朗逸
LSV,途观
LL6,劲炫
LVV,旗云
LBE,胜达
LFV,高尔夫
LDC,标致
LBE,悦动
LF3,奥迪
LFM,普拉多
LJD,智跑
LFV,大众
LJ8,众泰
LGG,东风
LVB,福田
LFP,马自达
LFP,红旗
LS5,铃木
LSJ,名爵
LSJ,荣威
LJN,东风风度
LWV,吉普
LFP,奔腾
LFP,马自达
LMG,猎豹
LWL,五十铃
LGB,启辰
LE4,奔驰
LL6,猎豹
