WMI,Manufacturer
AAV,Volkswagen South Africa
AC5,Hyundai South Africa
ADD,Hyundai South Africa
AFA,Ford South Africa
AHT,Toyota South Africa
JA3,Mitsubishi
JA4,Mitsubishi
JA,Isuzu
JD,Daihatsu
JF,Fuji Heavy Industries (Subaru)
JH,Honda
JK,Kawasaki (motorcycles)
JL5,Mitsubishi Fuso
JMB,Mitsubishi Motors
JMY,Mitsubishi Motors
JMZ,Mazda
JN,Nissan
JS,Suzuki
JT,Toyota
JY,Yamaha (motorcycles)
KL,Daewoo General Motors South Korea
KM,Hyundai
KMY,Daelim (motorcycles)
KM1,Hyosung (motorcycles)
KN,Kia
KNM,Renault Samsung
KPA,SsangYong
KPT,SsangYong
LAN,Changzhou Yamasaki Motorcycle
LBB,Zhejiang Qianjiang Motorcycle (Keeway/Generic)
LBE,Beijing Hyundai
LBM,Zongshen Piaggio
LBP,Chongqing Jainshe Yamaha (motorcycles)
LB2,Geely Motorcycles
LCE,Hangzhou Chunfeng Motorcycles (CFMOTO)
LDC,Dong Feng Peugeot Citroen (DPCA), China
LDD,Dandong Huanghai Automobile
LDN,SouEast Motor
LDY,Zhongtong Coach, China
LET,Jiangling-Isuzu Motors, China
LE4,Beijing Benz, China
LFB,FAW, China (busses)
LFG,Taizhou Chuanl Motorcycle Manufacturing
LFP,FAW, China (passenger vehicles)
LFT,FAW, China (trailers)
LFV,FAW-Volkswagen, China
LFW,FAW JieFang, China
LFY,Changshu Light Motorcycle Factory
LGB,Dong Feng (DFM), China
LGH,Qoros (formerly Dong Feng (DFM)), China
LGX,BYD Auto, China
LHB,Beijing Automotive Industry Holding
LH1,FAW-Haima, China
LJC,JAC, China
LJ1,JAC, China
LKL,Suzhou King Long, China
LL6,Hunan Changfeng Manufacture Joint-Stock
LL8,Linhai (ATV)
LMC,Suzuki Hong Kong (motorcycles)
LPR,Yamaha Hong Kong (motorcycles)
LSG,Shanghai General Motors, China
LSJ,MG Motor UK Limited - SAIC Motor, Shanghai, China
LSV,Shanghai Volkswagen, China
LSY,Brilliance Zhonghua
LTV,Toyota Tian Jin
LUC,Guangqi Honda, China
LVS,Ford Chang An
LVV,Chery, China
LVZ,Dong Feng Sokon Motor Company (DFSK)
LZM,MAN China
LZE,Isuzu Guangzhou, China
LZG,Shaanxi Automobile Group, China
LZP,Zhongshan Guochi Motorcycle (Baotian)
LZY,Yutong Zhengzhou, China
LZZ,Chongqing Shuangzing Mech & Elec (Howo)
L4B,Xingyue Group (motorcycles)
L5C,KangDi (ATV)
L5K,Zhejiang Yongkang Easy Vehicle
L5N,Zhejiang Taotao, China (ATV & motorcycles)
L5Y,Merato Motorcycle Taizhou Zhongneng
L85,Zhejiang Yongkang Huabao Electric Appliance
L8X,Zhejiang Summit Huawin Motorcycle
MAB,Mahindra & Mahindra
MAC,Mahindra & Mahindra
MAJ,Ford India
MAK,Honda Siel Cars India
MAL,Hyundai
MAT,Tata Motors
MA1,Mahindra & Mahindra
MA3,Suzuki India (Maruti)
MA6,GM India
MA7,Mitsubishi India (formerly Honda)
MBH,Suzuki India (Maruti)
MBJ,Toyota India
MBR,Mercedes-Benz India
MB1,Ashok Leyland
MCA,Fiat India
MCB,GM India
MC2,Volvo Eicher commercial vehicles limited.
MDH,Nissan India
MD2,Bajaj Auto
MEE,Renault India
MEX,Volkswagen India
MHF,Toyota Indonesia
MHR,Honda Indonesia
MLC,Suzuki Thailand
MLH,Honda Thailand
MMB,Mitsubishi Thailand
MMC,Mitsubishi Thailand
MMM,Chevrolet Thailand
MMT,Mitsubishi Thailand
MM8,Mazda Thailand
MNB,Ford Thailand
MNT,Nissan Thailand
MPA,Isuzu Thailand
MP1,Isuzu Thailand
MRH,Honda Thailand
MR0,Toyota Thailand
NLA,Honda Türkiye
NLE,Mercedes-Benz Türk Truck
NLH,Hyundai Assan
NM0,Ford Turkey
NM4,Tofaş Türk
NMT,Toyota Türkiye
PE1,Ford Phillipines
PE3,Mazda Phillipines
PL1,Proton, Malaysia
PNA,NAZA, Malaysia (Peugeot)
RFB,Kymco, Taiwan
RFG,Sanyang SYM, Taiwan
RFL,Adly, Taiwan
RFT,CPI, Taiwan
RF3,Aeon Motor, Taiwan
SAL,Land Rover
SAJ,Jaguar
SAR,Rover
SB1,Toyota UK
SBM,McLaren
SCA,Rolls Royce
SCB,Bentley
SCC,Lotus Cars
SCE,DeLorean Motor Cars N. Ireland (UK)
SCF,Aston
SDB,Peugeot UK (formerly Talbot)
SED,General Motors Luton Plant
SEY,LDV
SFA,Ford UK
SFD,Alexander Dennis UK
SHH,Honda UK
SHS,Honda UK
SJN,Nissan UK
SKF,Vauxhall
SLP,JCB Research UK
SMT,Triumph Motorcycles
SUF,Fiat Auto Poland
SUL,FSC (Poland)
SUP,FSO-Daewoo (Poland)
SUU,Solaris Bus & Coach (Poland)
TCC,Micro Compact Car AG (smart 1998-1999)
TDM,QUANTYA Swiss Electric Movement (Switzerland)
TMA,Hyundai Motor Manufacturing Czech
TMB,Škoda (Czech Republic)
TMK,Karosa (Czech Republic)
TMP,Škoda trolleybuses (Czech Republic)
TMT,Tatra (Czech Republic)
